date, pm25, pm10, o3, no2, so2, co
2024/6/1, 47, 20, 44, 5, 3, 1
2024/6/2, 36, 18, 18, 11, 2, 2
2024/6/3, 44, , , , , 
2024/5/1, 48, 34, 51, 15, 4, 4
2024/5/2, 61, 43, 75, 20, 4, 5
2024/5/3, 71, 50, 103, 22, 5, 6
2024/5/4, 96, 43, 50, 13, 5, 5
2024/5/5, 82, 9, 37, 6, 3, 5
2024/5/6, 26, 20, 31, 10, 3, 5
2024/5/7, 46, 17, 34, 9, 2, 3
2024/5/8, 35, 27, 55, 14, 2, 3
2024/5/9, 51, 28, 55, 13, 3, 3
2024/5/10, 54, 17, 33, 10, 2, 3
2024/5/11, 31, 57, 38, 6, 2, 3
2024/5/12, 67, 26, 45, 14, 2, 3
2024/5/13, 49, 24, 54, 18, 3, 3
2024/5/14, 44, 20, 34, 13, 2, 3
2024/5/15, 28, 18, 42, 8, 2, 3
2024/5/16, 24, 39, 62, 18, 3, 4
2024/5/17, 64, 26, 47, 12, 2, 3
2024/5/18, 43, 21, 52, 8, 2, 3
2024/5/19, 35, 29, 28, 10, 3, 3
2024/5/20, 56, 35, 62, 12, 2, 3
2024/5/21, 76, 46, 57, 14, 3, 4
2024/5/22, 103, 29, 35, 14, 2, 3
2024/5/23, 62, 32, 28, 12, 2, 4
2024/5/24, 73, 32, 43, 13, 2, 3
2024/5/25, 59, 23, 37, 8, 2, 3
2024/5/26, 44, 25, 38, 7, 2, 2
2024/5/27, 38, 17, 28, 12, 2, 2
2024/5/28, 28, 23, 40, 20, 2, 2
2024/5/29, 39, 23, 41, 20, 3, 3
2024/5/30, 49, 23, 47, 12, 2, 2
2024/5/31, 47, 26, 38, 6, 2, 2
2024/4/1, 50, 48, 52, 26, 4, 5
2024/4/2, 75, 40, 28, 29, 4, 5
2024/4/3, 74, 29, 41, 13, 4, 4
2024/4/4, 55, 36, 46, 12, 4, 3
2024/4/5, 65, 52, 47, 20, 4, 5
2024/4/6, 98, 49, 67, 20, 4, 5
2024/4/7, 90, 47, 45, 29, 4, 6
2024/4/8, 80, 36, 41, 10, 4, 4
2024/4/9, 61, 37, 44, 8, 4, 3
2024/4/10, 58, 44, 39, 15, 4, 5
2024/4/11, 67, 42, 48, 21, 4, 5
2024/4/12, 76, 34, 47, 15, 3, 4
2024/4/13, 60, 40, 72, 18, 4, 5
2024/4/14, 70, 19, 35, 16, 4, 5
2024/4/15, 42, 55, 34, 13, 3, 6
2024/4/16, 85, 93, 35, 18, 4, 6
2024/4/17, 125, 81, 49, 19, 4, 6
2024/4/18, 96, 71, 89, 22, 5, 6
2024/4/19, 99, 48, 36, 16, 3, 7
2024/4/20, 90, 14, 39, 5, 3, 4
2024/4/21, 25, 26, 41, 9, 3, 3
2024/4/22, 55, 16, 39, 7, 3, 3
2024/4/23, 34, 9, 26, 8, 3, 3
2024/4/24, 23, 28, 52, 15, 3, 5
2024/4/25, 61, 53, 54, 20, 4, 6
2024/4/26, 75, 44, 55, 16, 4, 5
2024/4/27, 56, 33, 75, 15, 4, 6
2024/4/28, 64, 40, 47, 11, 3, 4
2024/4/29, 65, 53, 45, 17, 5, 6
2024/4/30, 97, 23, 44, 6, 3, 4
2024/1/1, 61, 34, 22, 16, 2, 6
2024/1/2, 84, 35, 24, 22, 2, 6
2024/1/3, 84, 48, 13, 32, 3, 9
2024/1/4, 108, 65, 28, 33, 3, 10
2024/1/5, 138, 23, 22, 15, 3, 5
2024/1/6, 53, 20, 24, 5, 3, 5
2024/1/7, 48, 21, 15, 21, 3, 6
2024/1/8, 51, 31, 2, 37, 3, 8
